,id,title,release_date,popularity,vote_average,vote_count
0,1007757,Swapped,2026-05-01,178.2927,9.0,1657
1,278,The Shawshank Redemption,1994-09-23,87.6602,8.722,30542
2,238,The Godfather,1972-03-14,42.9867,8.688,23021
3,687163,Project Hail Mary,2026-03-15,173.9269,8.672,4945
4,1330021,Remarkably Bright Creatures,2026-05-07,35.1517,8.57,602
5,240,The Godfather Part II,1974-12-20,27.6809,8.572,13959
6,424,Schindler's List,1993-12-15,26.5521,8.569,17508
7,389,12 Angry Men,1957-04-10,23.231,8.563,10030
8,936075,Michael,2026-04-22,460.9936,8.541,2009
9,129,Spirited Away,2001-07-20,31.0653,8.535,18394
10,155,The Dark Knight,2008-07-16,41.5527,8.531,35882
11,19404,Dilwale Dulhania Le Jayenge,1995-10-20,15.8208,8.513,4593
12,497,The Green Mile,1999-12-10,27.1221,8.507,19314
13,122,The Lord of the Rings: The Return of the King,2003-12-17,44.4099,8.5,26632
14,496243,Parasite,2019-05-30,33.6779,8.494,20716
15,1181678,¿Quieres ser mi hijo?,2023-09-21,10.1298,8.5,354
16,680,Pulp Fiction,1994-09-10,32.8397,8.483,30267
17,372058,Your Name.,2016-08-26,24.944,8.5,12609
18,157336,Interstellar,2014-11-05,70.0145,8.478,39990
19,429,"The Good, the Bad and the Ugly",1966-12-23,23.6148,8.468,9678
20,13,Forrest Gump,1994-06-23,28.6543,8.465,29822
21,769,GoodFellas,1990-09-12,27.6023,8.454,14402
22,346,Seven Samurai,1954-04-26,12.7897,8.45,4246
23,12477,Grave of the Fireflies,1988-04-16,0.0119,8.444,6542
24,637,Life Is Beautiful,1997-12-20,14.0767,8.4,14014
25,550,Fight Club,1999-10-15,33.4766,8.438,32132
26,14537,Harakiri,1962-09-15,8.2333,8.438,1218
27,120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,36.188,8.435,27643
28,598,City of God,2002-08-30,11.1839,8.43,8201
29,11216,Cinema Paradiso,1988-11-17,11.7544,8.428,4839
30,121,The Lord of the Rings: The Two Towers,2002-12-18,28.7286,8.42,23958
31,539,Psycho,1960-06-22,15.1681,8.413,11008
32,510,One Flew Over the Cuckoo's Nest,1975-11-19,12.027,8.412,11477
33,40096,A Dog's Will,2000-09-15,5.1292,8.408,1223
34,255709,Hope,2013-10-02,11.6067,8.4,862
35,667257,Impossible Things,2021-06-17,4.5116,8.395,422
36,324857,Spider-Man: Into the Spider-Verse,2018-12-06,23.3559,8.393,17283
37,1891,The Empire Strikes Back,1980-05-20,12.4043,8.392,18452
38,4935,Howl's Moving Castle,2004-09-09,23.2624,8.388,11110
39,378064,A Silent Voice: The Movie,2016-09-17,14.8592,8.387,4503
40,770156,Lucy Shimmers and the Prince of Peace,2020-10-19,8.418,8.384,363
41,696374,Gabriel's Inferno,2020-05-29,4.496,8.383,2470
42,807,Se7en,1995-09-22,26.8051,8.382,23140
43,311,Once Upon a Time in America,1984-05-23,15.5418,8.382,6054
44,1218925,Chainsaw Man - The Movie: Reze Arc,2025-09-19,25.1637,8.4,912
45,244786,Whiplash,2014-10-10,22.1632,8.375,16659
46,423,The Pianist,2002-09-17,11.1247,8.374,10151
47,27205,Inception,2010-07-15,33.1029,8.372,39347
48,12493,High and Low,1963-03-01,7.1242,8.361,1130
49,1439930,The Punisher: One Last Kill,2026-05-12,179.3429,8.358,1568
50,724089,Gabriel's Inferno: Part II,2020-07-31,3.2732,8.349,1555
51,274,The Silence of the Lambs,1991-02-14,4.3517,8.346,18023
52,761053,Gabriel's Inferno: Part III,2020-11-19,6.6291,8.34,1089
53,567,Rear Window,1954-08-01,8.2221,8.338,7177
54,569094,Spider-Man: Across the Spider-Verse,2023-05-31,26.4064,8.337,8657
55,1058694,Radical,2023-10-19,4.3213,8.329,506
56,73,American History X,1998-07-01,10.3368,8.327,12601
57,105,Back to the Future,1985-07-03,19.0748,8.326,21852
58,128,Princess Mononoke,1997-07-12,15.6552,8.321,9022
59,1184918,The Wild Robot,2024-09-12,37.4749,8.314,6134
60,10494,Perfect Blue,1998-02-28,12.392,8.306,3209
61,3782,Ikiru,1952-10-09,7.154,8.302,1347
62,207,Dead Poets Society,1989-06-02,15.4141,8.3,12631
63,533514,Violet Evergarden: The Movie,2020-09-18,6.8052,8.298,516
64,101,Léon: The Professional,1994-09-14,15.7655,8.295,16145
65,644479,Dedicated to my ex,2019-11-01,3.6206,8.3,513
66,42269,We All Loved Each Other So Much,1974-12-21,3.8043,8.3,651
67,1585,It's a Wonderful Life,1946-12-20,8.2453,8.282,4914
68,620249,The Legend of Hei,2019-08-27,8.7014,8.281,473
69,820067,The Quintessential Quintuplets Movie,2022-05-20,6.6795,8.28,444
70,372754,Dou kyu sei – Classmates,2016-02-20,5.0941,8.3,441
71,3082,Modern Times,1936-02-05,7.1349,8.3,4088
72,914,The Great Dictator,1940-10-15,6.9633,8.3,3707
73,599,Sunset Boulevard,1950-08-10,7.3854,8.3,2941
74,335,Once Upon a Time in the West,1968-12-21,11.5016,8.273,4910
75,77338,The Intouchables,2011-11-02,22.5182,8.271,18456
76,28,Apocalypse Now,1979-05-19,12.8269,8.27,9115
77,652837,"Josee, the Tiger and the Fish",2020-12-25,5.9468,8.268,601
78,1317149,I Swear,2025-09-22,12.398,8.265,342
79,654299,Out of the Clear Blue Sky,2019-12-24,3.5852,8.263,384
80,654299,Out of the Clear Blue Sky,2019-12-24,3.5852,8.263,384
81,92321,Hotarubi no Mori e,2011-09-17,0.0085,8.257,1218
82,18491,Neon Genesis Evangelion: The End of Evangelion,1997-07-19,9.3816,8.255,1860
83,975,Paths of Glory,1957-10-25,5.9045,8.3,3278
84,8587,The Lion King,1994-06-15,26.03,8.3,19719
85,92060,Michael Jackson's Thriller,1983-11-21,7.1173,8.3,768
86,15804,A Brighter Summer Day,1991-07-27,6.7457,8.253,391
87,637920,Miracle in Cell No. 7,2019-10-10,7.9088,8.3,4567
88,901,City Lights,1931-02-06,5.3898,8.252,2459
89,29259,Le Trou,1960-03-18,5.7281,8.251,575
90,603,The Matrix,1999-03-31,53.8049,8.2,27997
91,1356039,Counterattack,2025-02-27,7.6642,8.243,821
92,630566,Clouds,2020-10-09,1.9918,8.243,1054
93,10376,The Legend of 1900,1998-10-28,7.2206,8.242,2450
94,670,Oldboy,2003-11-21,11.8179,8.238,9885
95,299536,Avengers: Infinity War,2018-04-25,50.5333,8.237,32090
96,299534,Avengers: Endgame,2019-04-24,30.7314,8.237,27821
97,632632,Given,2020-08-22,2.7518,8.227,420
98,504253,I Want to Eat Your Pancreas,2018-09-01,6.4322,8.227,1784
99,857,Saving Private Ryan,1998-07-24,16.372,8.227,17280
100,98,Gladiator,2000-05-04,19.7767,8.227,20944
101,572154,Rascal Does Not Dream of a Dreaming Girl,2019-06-15,2.6547,8.225,602
102,490132,Green Book,2018-11-16,11.8938,8.225,12900
103,508965,Klaus,2019-11-08,4.564,8.223,4682
104,447362,Life in a Year,2020-11-27,4.0257,8.223,1983
105,995133,"The Boy, the Mole, the Fox and the Horse",2022-12-25,3.3801,8.221,726
106,24188,Il Sorpasso,1962-12-05,1.6981,8.2,841
107,16869,Inglourious Basterds,2009-08-02,18.1561,8.218,24223
108,527641,Five Feet Apart,2019-03-14,6.0115,8.216,5923
109,110420,Wolf Children,2012-07-21,3.8094,8.216,2489
110,635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020-10-16,10.4021,8.2,4533
111,25237,Come and See,1985-10-17,5.471,8.212,1851
112,1124,The Prestige,2006-10-19,12.921,8.208,17626
113,315162,Puss in Boots: The Last Wish,2022-12-07,17.7609,8.207,8865
114,16672,Woman in the Dunes,1964-02-15,2.7452,8.207,519
115,283566,Evangelion: 3.0+1.0 Thrice Upon a Time,2021-03-08,4.6593,8.206,950
